Tiempo_s,TorqueSolicitado_Nm,TorqueMotor_Nm,VelocidadMotor_rpm,VelocidadAngular_rad_s,PotenciaMecanica_kW,PotenciaElectrica_kW,CorrienteDC_A,Eficiencia_pct,PotenciaRegenerativa_kW,Perdidas_kW
40.8,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
40.9,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41.1,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41.2,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41.3,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41.4,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41.5,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41.6,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41.7,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41.8,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
41.9,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42.1,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42.2,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42.3,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42.4,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42.5,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42.6,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42.7,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42.8,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
42.9,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
43,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
43.1,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
43.2,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
43.3,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
43.4,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
43.5,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
43.6,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
43.7,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
43.8,0,0,8000,837.758040957278,0,0,0,NaN,-0,0
